Artist,Album,Label,Year,Catalogue,Country,Link,Qty,Format
Kaido Kirikmäe,Epic,Not On Label,2022,-,EE,Discogs|https://www.discogs.com/release/25633993-Kaido-Kirikm%C3%A4e-Epic,1,MC
"Tanel's Hot House Trax, Merelinnud",Split Mixtape,Not On Label,2015,-,EE,Discogs|https://www.discogs.com/release/6989131-Tanels-Hot-House-Trax-Merelinnud-Split-Mixtape,1,MC
Roy Vincent,Drøn #1,Not On Label,2019,-,FR,Discogs|https://www.discogs.com/release/15650376-Roy-Vincent-Dr%C3%B8n-1,2,MC
Born To Bang,Born To Bang,Off-Kilter,2016,OK001,EE,Discogs|https://www.discogs.com/release/9209272-Born-To-Bang-Born-To-Bang-,1,MC
Tarrvi Laamann,Takn Owr,Not On Label,2003,-,EE,Discogs|https://www.discogs.com/release/11630732-Tarrvi-Laamann-Takn-Owr,1,MC
Kahin,Sümboolika,Not On Label,2020,ST002,EE,Discogs|https://www.discogs.com/release/16020570-Kahin-S%C3%BCmboolika,1,MC
Flexus,Flexus,Not On Label,1997,-,EE,Discogs|https://www.discogs.com/release/3601709-Flexus-Flexus,2,MC
Dew8,Ain't No Feeble Bastard,Trash Can Dance,2018,TCD197,EE,Discogs|https://www.discogs.com/release/13062628-Dew8-Aint-No-Feeble-Bastard-,1,MC
Unistaja,Tähetüdruk,Not On Label,2022,4,EE,Discogs|https://www.discogs.com/release/24675410-Unistaja-T%C3%A4het%C3%BCdruk,1,MC
Luurel Varas,Leisure Time,Crash Symbols,2017,PBUH108,US,Discogs|https://www.discogs.com/release/10636264-Luurel-Varas-Leisure-Time,1,MC
Borax,C,Heven,1995,-,EE,Discogs|https://www.discogs.com/release/2396359-BORAX-C,1,MC
Liis Ring,Åker,Liis Ring,2018,II,EE,Discogs|https://www.discogs.com/release/13021607-Liis-Ring-%C3%85ker,1,MC
Madd G,Sticks And Stones (Prehistoric Edition),Trash Can Dance,2022,TCD372,EE,Discogs|https://www.discogs.com/release/24469778-Madd-G-Sticks-And-Stones-Prehistoric-Edition,1,MC
Lootus,Ghost Sovnds,Not On Label,2017,-,EE,Discogs|https://www.discogs.com/release/10168926-Lootus-Ghost-Sovnds,1,MC
Zriamuli,192kg,Kosmos Control,,KC 006,EE,Discogs|https://www.discogs.com/release/3638216-Zriamuli-192kg,2,MC
Kaarel Mihk,Oomareia Õnnistus,Trash Can Dance,2020,TCD252,EE,Discogs|https://www.discogs.com/release/15572929-Kaarel-Mihk-Oomareia-%C3%95nnistus,1,MC
Have A Nice Death / Hädavares,Demo ´24 / Demod Deemonile,Trash Can Dance,2026,TCD511,EE,Discogs|https://www.discogs.com/release/36845293-Have-A-Nice-Death-H%C3%A4davares-Demo-24-Demod-Deemonile,2,MC
West Coast Swingaz,Brenda's Groove EP,Trash Can Dance,2016,TCD114,EE,Discogs|https://www.discogs.com/release/9392491-West-Coast-Swingaz-Brendas-Groove-EP,1,MC
West Coast Swingaz,Joe Cool EP,Trash Can Dance,2016,TCD115,EE,Discogs|http://www.discogs.com/release/9392547-West-Coast-Swingaz-Joe-Cool-EP,2,MC
TAHM / Autharktos ,Styx / Statick,Trash Can Dance,2014,TCD47,EE,Discogs|https://www.discogs.com/release/5410205-TAHM-Autharktos-Styx-Statick-,1,MC
Kaarel Mihk,Isoleer,Trash Can Dance,2017,TCD108,EE,Discogs|https://www.discogs.com/release/9809298-Kaarel-Mihk-Isolatsioon,1,MC
M?nnivardad,Oksepunk EP,Trash Can Dance,2016,TCD113,EE,Discogs|https://www.discogs.com/release/8603217-Mnnivardad-Oksepunk-EP,2,MC
Keskkool,Ühiskondlikult Kahjulik Element,Beyond Tartu,2022,2,EE,Discogs|https://www.discogs.com/release/22033879-Keskkool-%C3%9Chiskondlikult-Kahjulik-Element,1,MC
Seeneliste Massimörv,Gaas,Trash Can Dance,2016,TCD109,EE,Discogs|https://www.discogs.com/release/12439942-Seeneliste-Massim%C3%B6rv-Gaas,1,MC
Kuus,Kuus,Trash Can Dance,2017,TCD124,EE,Discogs|https://www.discogs.com/release/9964527-Kuus-Kuus,1,MC
Verised Naised,Surmapoeesiad,Trash Can Dance,2016,TCD97,EE,Discogs|https://www.discogs.com/release/8122919-Verised-Naised-Surmapoeesiad,1,MC
Unistaja,Tagasi Legolandi,Not On Label,2022,3,EE,Discogs|https://www.discogs.com/release/25525732-Unistaja-Tagasi-Legolandi,1,MC
Skalpell,Vakstu SKA bändi proovikademo 1998,Trash Can Dance,2021,TCD322,EE,Discogs|https://www.discogs.com/release/20456431-Skalpell-Vakstu-Ska-B%C3%A4ndi-Proovikademo-1998,1,MC
Day Of The Triangle,Sparse Atmosphere,Not On Label,2017,-,EE,Discogs|https://www.discogs.com/release/11378033-Day-Of-The-Triangle-Sparse-Atmosphere,1,MC
Aare Ermus,Live At Kukemuru Teletorni Ambient / Live At Kukemuru Ambient Ruum,Trash Can Dance,2026,TCD503,EE,Discogs|https://www.discogs.com/release/36836053-Aare-Ermus-Live-At-Kukemuru-Teletorni-Ambient-Live-At-Kukemuru-Ambient-Ruum,2,MC
Huiabella Fantastica,Huiabella Show,HBF Records (2),2019,-,EE,Discogs|https://www.discogs.com/release/15781057-Huiabella-Fantastica-Huiabella-Show,1,MC
Mandarones,Aatomisõdalased,Trash Can Dance,2016,TCD116,EE,Discogs|https://www.discogs.com/release/9171750-Mandarones-Aatomis%C3%B5dalased,1,MC
Hugabug,Ghots,Trash Can Dance,2020,TCD261,EE,Discogs|https://www.discogs.com/release/16024578-Hugabug-Ghots,1,MC
SS Robot,"""Patune Mari"" Live-EP",Trash Can Dance,2016,TCD112,EE,Discogs|https://www.discogs.com/release/8603264-SS-Robot-Patune-Mari-Live-EP,1,MC
Nikolajev,Transplant Rejection,Muscut,2022,Muscut 24C,UA,Discogs|https://www.discogs.com/release/24906515-Nikolajev-Transplant-Rejection,1,MC
